typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3050672569","false","-1","N/A","0","false","0","true","0","false","21619335521","0","21619335521","4","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","854232","Electronic integrated circuits; memories","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1117235119","false","-1","N/A","0","false","0","true","0","false","3030260106","0","3030260106","4","false","true",
"C","A","20180101","2018","52","2018","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","854239","Electronic integrated circuits; n.e.c. in heading no. 8542","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","-1","N/A","0","false","0","true","0","false","8528902976","0","8528902976","6","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2535227439","false","-1","N/A","0","false","0","true","0","false","21831882288","21771456503","21831882288","4","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","854232","Electronic integrated circuits; memories","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","792043694","false","-1","N/A","0","false","1380922.88","true","0","false","1801292465","1791018113","1801292465","4","false","true",
"C","A","20190101","2019","52","2019","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","854239","Electronic integrated circuits; n.e.c. in heading no. 8542","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","8780002708","false","-1","N/A","0","false","0","true","0","false","8028539941","7986825797","8028539941","4","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2373360625","false","5","u","2373360625","false","0","true","0","false","21403723805","0","21403723805","4","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","854232","Electronic integrated circuits; memories","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","983846476","false","5","u","983846476","false","0","true","0","false","1691681037","0","1691681037","4","false","true",
"C","A","20200101","2020","52","2020","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","854239","Electronic integrated circuits; n.e.c. in heading no. 8542","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","5","u","9148995342","false","0","true","0","false","7731843327","0","7731843327","6","false","true",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2786449404","false","5","u","2786449404","false","17280114.036","true","0","false","27551319937","0","27551319937","4","false","true",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","854232","Electronic integrated circuits; memories","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1273135648","false","5","u","1273135648","false","1445991.085","true","0","false","2228543926","0","2228543926","4","false","true",
"C","A","20210101","2021","52","2021","842","USA","USA","M","Import","0","W00","World","0","W00","World","H5","HS","true","854239","Electronic integrated circuits; n.e.c. in heading no. 8542","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","13372045527.813","true","5","u","13366444094","false","6625281.801","true","0","false","10504769130","0","10504769130","6","false","true",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2702989238","false","5","u","2702989238","false",,"false","0","false","24501417815","24356023168","24501417815","0","false","true",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","854232","Electronic integrated circuits; memories","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1595663056","false","5","u","1595663056","false","1289384.087","true","0","false","2772404016","2756161205","2772404016","4","false","true",
"C","A","20220101","2022","52","2022","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","854239","Electronic integrated circuits; n.e.c. in heading no. 8542","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","5","u","13793800362","false",,"false","0","false","15129066181","15021580952","15129066181","0","false","true",
"C","A","20230101","2023","52","2023","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2605495856","false","5","u","2605495856","false","11170491.388","true","0","false","20283575882","20144486263","20283575882","4","false","true",
"C","A","20230101","2023","52","2023","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","854232","Electronic integrated circuits; memories","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2379172374","false","5","u","2379172374","false","1086123.76","true","0","false","2032402264","2022568992","2032402264","4","false","true",
"C","A","20230101","2023","52","2023","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","854239","Electronic integrated circuits; n.e.c. in heading no. 8542","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","5","u","10238722180","false","6822286.372","true","0","false","12660950656","12546381838","12660950656","4","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","854231","Electronic integrated circuits; processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2113118549","false","5","u","2113118549","false",,"false","0","false","28368407940","28253640099","28368407940","0","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","854232","Electronic integrated circuits; memories","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1493611377","false","5","u","1493611377","false","1011545.766","true","0","false","1881609997","1873562285","1881609997","4","false","true",
"C","A","20240101","2024","52","2024","842","USA","USA","M","Import","0","W00","World","0","W00","World","H6","HS","true","854239","Electronic integrated circuits; n.e.c. in heading no. 8542","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","5","u","8392549501","false","5479565.477","true","0","false","8953636146","8894040897","8953636146","4","false","true",
